# Syntax: categoryname\t	flag\t	directory\t	market name\t	width\t	height\t
Simple	L1	blank	Hidden	1	1
#Styled	L1	coolorange	Agent Orange	126	31
Styled	L1	aliasw	Gothic Black	106	28
Objects	L1	apple	Apple	166	47
Simple	L1	ariali	Mini Black	74	20
Styled	L1	as	Round Purple	96	26
Objects	L1	ashic	Purple Puppies	92	26
Styled	L1	awg01	Bubble Red	92	26
Styled	L1	awg02	Tubular Blue	94	28
Simple	L1	awg03	Faint Black	92	29
Simple	L1	awg04	Faint Green	92	29
Simple	L1	b	Digital Red	92	29
Styled	L1	banco	3D Baby Blue	104	38
Styled	L1	bancogl	Sketched Blue	140	50
Styled	L1	bancord	3D Red	140	50
Styled	L1	bangko	Funky Chicken	64	24
Objects	L1	basebll	BaseBall	176	44
Styled	L1	bars	Bar Code	84	24
Simple	L1	bauhaus	Bold White	80	20
Simple	L1	bbldotb	Digital Blue	80	20
Simple	L1	bbldotg	Digital Green	80	20
Simple	L1	bbldotr	Dotted Digital Red	80	20
Simple	L1	bblltbl	Digital Turquoise	68	24
Styled	L1	bck-grn	Green Odometer	100	50
Styled	L1	bck-old	Bronze Odometer	100	50
Styled	L1	bck-red	Red Odometer	100	50
Styled	L1	bck-ylw	Yellow Odometer	100	50
Styled	L1	bckblue	Blue Odometer	100	50
Styled	L1	bellbtm	Hippie 	100	25
Styled	L1	blgrv	Snazzy Purple 	100	30
Styled	L1	blkgold	Fancy Gold 	112	28
Simple	L1	bluemb	Shaded Blue	56	22
Simple	L1	bluesky	Simple Blue	92	21
Styled	L1	bluewht	Rain	84	26
Simple	L1	boffo	Red Paint	60	24
Simple	L1	bold	Simple Text	32	11	
Simple	L1	break1	Neon Purple	52	21
Simple	L1	break3	Rounded Line	52	21
Simple	L1	brush	Brushed Black	60	20
Objects	L1	bttrfly	Butterfly	300	75
Styled	L1	caliblu	Ninja	100	28
Objects	L1	candy	Melts in Hand	180	45
Objects	L1	cb	Blocks	160	40
Objects	L1	chagor6	Plastic Label	80	26
Objects	L1	circbrd	Printed Circuit	100	50
Objects	L1	clouds	Clouds	72	26
Styled	L1	cntdwn	Bomb Counter	64	24	
Styled	L1	cold	Ice	104	30
Objects	L1	colorbl	Bouncy Balls	100	28	
Styled	L1	colorit	Bubble Stone	160	50	
Styled	L1	colors	Colored Blocks	96	24
Styled	L1	cool	Bold Purple	104	31
Styled	L1	copper	Copper Plate	176	22
Styled	L1	cosmo	60s Star Treak	192	64
Styled	L1	cosmos	Flower Power	64	16
Objects	L1	crdclbs	Clubs	240	85
Objects	L1	crddmds	Diamonds	240	85
Objects	L1	crdhrts	Hearts	240	85
