"ns,type,xmlpath,amz_attrib,amz-format,title,mandatory,amz-max-length,amz-min-length,id,max-allowed-lines,aum,vkey,variation-type,prompt,data,amz-allow-blank",,,,,,,,,,,,,,,,,,,,,,,,
"Parentage","Size","Color","variation-theme","shoes","search terms","Item-type","color-map","arch-type","apparel-closure-type","cleat-description","cleat-material-type","department","material-fabric1","heel-type","occasion-lifestyle","pattern-style","platform-height","shoe-height-map","sole-material","shoe-strap-type","special-feature1","water-resistance-level","style-keyword1","toe-style"
"product",,,,"product","product","product","product","product","product","product","product","product","product","product","product","product","product","product","product","product","product","product","product","product"
"variation","variation","variation","variation","hidden","textlist","textbox","select","select","select","select","select","select","select","select","select","select","select","select","select","select","textlist","select","select","select"
"Shoes.VariationData.Parentage","Shoes.VariationData.Size","Shoes.VariationData.Color","Shoes.VariationData.VariationTheme",,,,"Shoes.ClassificationData.ColorMap","Shoes.ClassificationData.ArchType","Shoes.ClassificationData.ShoeClosureType","Shoes.ClassificationData.CleatDescription","Shoes.ClassificationData.CleatMaterialType","Shoes.ClassificationData.Department","Shoes.ClassificationData.FabricType","Shoes.ClassificationData.HeelType","Shoes.ClassificationData.OccasionAndLifestyle","Shoes.ClassificationData.PatternStyle","Shoes.ClassificationData.PlatformHeight","Shoes.ClassificationData.ShoeHeightMap","Shoes.ClassificationData.SoleMaterial","Shoes.ClassificationData.StrapType","Shoes.ClassificationData.SpecialFeatures","Shoes.ClassificationData.WaterResistanceLevel","Shoes.ClassificationData.StyleKeywords","Shoes.ClassificationData.ToeStyle"
"parentage","Size","Color","VariationTheme",,"search-terms",,"ColorMap","ArchType","ShoeClosureType","CleatDescription","CleatMaterialType","Department","FabricType","HeelType","OccasionAndLifestyle","PatternStyle","PlatformHeight","ShoeHeightMap","SoleMaterial","StrapType","SpecialFeatures","WaterResistanceLevel","StyleKeywords","ToeStyle"
"Text","Text","Text","Text",,,,"Text","Text","Text","Text","Text","Text","Text","Text","Text","Text","Text","Text","Text","Text","Textlist","Text","Textlist","Text"
,,,,,"search terms","Item Type","Color Map","Arch Type","Shoe Closure Type","Cleat Description","Cleat Material Type","Department","Material Fabric Type","Heel Type","Occasion and Lifestyle","Pattern Style","Platform Height","Shoe Height Map","Sole Material","Shoe Strap Type","Special Features","Water Resistance Level","Style Keyword","Toe Style"
,,,,,,,"Y",,,,,"Y","Y",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
