seller-id	gtin	isbn	mfg-name	mfg-part-number	asin	seller-sku	title	description	main-image	additional-images	weight	features	listing-price	msrp	category-id	keywords	product-set-id										
23205083	699788805626		Square-Enix	043891		AAA-043891	Full Metal Alchemist Winry Rockbell Action Figure	The Winry figure measures about 7 inches tall. The figure is highly articulated, ultra-poseable and includes bonus parts, such as removable jackets, hats, and more.	http://static.zoovy.com/img/gkworld/-/0/043891.jpg	http://static.zoovy.com/img/gkworld/-/W/winry_349fm5f98m56.jpg	0.94		17.95	19.95	21041		
23205083	634482394496		Neca	39449		GKW28068	Resident Evil Anniversary Hunter Action Figure	Born from a fertilized human egg that was infused with reptilian DNA through the T-Virus, Hunter boasts razor sharp claws and scale-like skin covering it's entire body, a frightening cross between a reptile and a human. The Hunter figure measures about 7 inches. Features ball-jointed shoulders, elbows, fingers, and ankles, a v-crotch, and hinged jaw.	http://static.zoovy.com/img/gkworld/-/R/resgreenmonsterfigure.jpg		1.25		15.95	17.95	21041		
23205083	699788806944		Square-Enix	053892		AAA-053892	Final Fantasy VII Advent Children Vincent Figure	The Vincent figure measures about 8 inches and features over 20 points of articulation. Includes a display stand and comes in a window box packaging.	http://static.zoovy.com/img/gkworld/-/F/ffvincentadvfigure9394900.jpg	http://static.zoovy.com/img/gkworld/-/F/vincentfigure93847867834.jpg	1.88		19.95	24.95	21041		
23205083			Square Enix	GK19471		GKW19471	Final Fantasy Advent Children Masterpiece Arts Cloud Statue Figure	This 1/4 scale detailed, high-end figure is made of several materials including PVC, cold cast resin, leather and metal. Translucent resin is used to allow light to shine through Cloud's trademark spiky hair, while his fabric clothing contains real working metal zippers. In addition, his boots contain actual leather and metal parts! This Masterpiece Arts statue stands over 19 inches tall including a special, large display base (featuring the pattern used as part of the Advent Children logo). The ultimate accessory the Buster Sword can be held in either of clouds hands, and the figure comes complete and ready to display right out of its deluxe package box!	http://static.zoovy.com/img/gkworld/-/F/ffcloudbigst0349.jpg		16.25		379.95	399.95	21041		
23205083	699788808535		Kaiyodo	10064673		AAA-10064673	Magical Canan Carmine Bome Vol. 10 Action Figure	The Magical Canan figure measures about 8 inches tall. This is the 10th figure of the Bome series.	http://static.zoovy.com/img/gkworld/-/M/10064673.jpg	http://static.zoovy.com/img/gkworld/-/magical10fib.jpg	1.56		19.95	24.95	21041		
23205083	634482394502		Neca	39450		GKW28066	Resident Evil Anniversary Licker Action Figure	These creatures were once regular zombies until the T-Virus ravaged their bodies further causing their brains to expand and their skin to deteriorate. They can jump great heights and distances and they attack their prey using their teeth, claws, and tongue. The Licker figure measures about 7 inches tall. Features a poseable and bendable tongue, ball-jointed torso, swivel forearms and v-crotch articulation.	http://static.zoovy.com/img/gkworld/-/3/39450_blowupr.jpg		1.25		15.95	17.95	21041		
23205083			Gainax	GK21600		GKW21600	Evangelion EVA-05 White Action Figure	The Evangelion figure measures about 4 inches and comes with weapons and accessories on a blister card packaging.	http://static.zoovy.com/img/gkworld/-/E/evafisgure8348s8d7834.jpg		0.75		6.50	9.95	21041		
23205083			Gainax	GK21601		GKW21601	Evangelion EVA-04 Grey Action Figure	The Evangelion figure measures about 4 inches and comes with weapons and accessories on a blister card packaging.	http://static.zoovy.com/img/gkworld/-/E/ee903459d8f7845hunf45.jpg		0.75		6.50	9.95	21041		
23205083			Dark Horse	14479		AAA-14479	Vampire Hunter D Action Figure Set	Based on the revered illustrations of Yoshitaka Amano, this is the first in a line of upcoming Vampire Hunter D products. Featuring D, Doris, and Magnus, these are some of the finest representations of these characters ever made! Meticulously sculpted and painted by Tim Bruckner; we feel that he is one of the few artists capable of truly capturing the beauty and attitude of these beloved characters. The 3 fully painted, non-articulated figures measure about 4 inches tall each and come in a full-color window box.	http://static.zoovy.com/img/gkworld/-/1/14479.jpg		1.56		23.95	24.95	21041		
23205083	699788806876		Square Enix	GKW08507		GKW08507	Final Fantasy VII Advent Children Sierra Aircraft Statue	This dynamic replica of The Sierra was sculpted for by Takayuki Takeya. Measures approximately 9 1/2 inches in length, comes with a display base, painted and ready for display in a window box packaging.	http://static.zoovy.com/img/gkworld/-/ffairshipadv.jpg		2.19		27.95	39.95	21041		
23205083	634482394489		Neca	39448		GKW28067	Resident Evil Anniversary Tyrant Action Figure	The ultimate life-form made possible through effective implementation of the T-Virus. Tyrant boasts impressive durability and battle capabilities, as well as enough brainpower to obey commands. The Tyrant figure measures over 9 inches tall when assembled and features a ball-jointed neck, shoulders, torso, and fingers, and swivel thighs.	http://static.zoovy.com/img/gkworld/-/T/tyrantanniv2.jpg		1.25		15.95	17.95	21041		
23205083	634482394519		Neca	39451		GKW28069	Resident Evil Anniversary Crimson Head Zombie Action Figure	A zombie will become a Crimson Head when revived through the V-ACT process. Its increased blood lust causes it to move faster and to jump at it's victims. They possess long sharp claws and a unique red colored body. The Zombie figure measures about 7 inches tall. Features ball-jointed neck and shoulders, swivel wrists and waist, and a Zombie Dog.	http://static.zoovy.com/img/gkworld/-/Z/zombiecrimsonfigure.jpg		1.25		15.95	17.95	21041		
23205083	693904345058		Yamato	YAM34505	B00106BTRG	GKW37544	Evangelion EVA-02 Production Action Figure	The highly detailed 7 inch tall metallic painted action figure features 11 points of articulation and comes complete with multiple themed armor and weapon accessories such as positron rifle, spear, axe, and knife.	http://static.zoovy.com/img/gkworld/-/D/evaredthumb83487sd834.jpg		1.88		16.95	19.95	21041		
23205083	634482608036		Neca	60803		GKW35010	Castlevania Alucard Action Figure	The son of Dracula, Alucard the half-vampire is a force for good nearly as unstoppable as his father. The figure has multiple points of articulation and comes with a sword, cross, meat and holy water.	http://static.zoovy.com/img/gkworld/-/R/60803_blowup.jpg		1.25		15.95	17.95	21041		
23205083	836453006227		Nintendo	GKW33922		GKW33922	Nintendo Super Mario Bros. Toad Action Figure	The Toad figure measures about 4 inches.	http://static.zoovy.com/img/gkworld/-/M/toadfigure783746.jpg		0.94		8.95	9.95	21041		
23205083	634482608012		Neca	60801		GKW35008	Castlevania Simon Action Figure	Simon, the hero of the original Castlevania comes to life as an action figure this fall, featuring multiple points of articulation and game accurate accessories including a cross, candles, 2 swords, alternate hand, a whip & a ball and chain.	http://static.zoovy.com/img/gkworld/-/R/castlevania934868.jpg		1.25		15.95	17.95	21041		
23205083	634482495056		Neca	49505		GKW37978	Coraline Bendy Fashion Doll Figure Set	Based on Neil Gaiman's work, Coraline hits the big screen! This set of 3 bendable Coraline action figures includes: Casual Outfit Pajamas Outfit Raincoat Outfit	http://static.zoovy.com/img/gkworld/-/S/49505coraline.jpg		4.06		58.95	59.95	21041		
23205083	634482608043		Neca	60804		GKW35009	Castlevania Succubus Action Figure	The supernatural seductress of the classic video game comes to life! Note: final product and accessories may differ from image shown. The figure has multiple points of articulation and comes with an ax and a hunch back.	http://static.zoovy.com/img/gkworld/-/R/succubusbig_34.jpg		1.25		15.95	17.95	21041		
