l1_angels                  Angels
l1_blue                    Blue Streaks
l1_blueagate               Blue Agate
l1_bluegrn                 Blue Green
l1_bookworm                Bookworm
l1_brick                   Brickhouse
l1_bunny                   Fluffy Bunny
l1_burgundygrn             Salsa
l1_cats                    Cats
l1_circus                  Happy Circus
l1_clothesline             Clothesline
l1_cranberryagate          Cranberry Agate
l1_crescentmoon            Crescent Moon
l1_daisychain              Daisy Chain
l1_darkalum                Dark Aluminum
l1_deer                    Deer
l1_dotty                   Dotty
l1_earthquake              Concussion
l1_fire                    Fire
l1_fishing                 Fishing
l1_fruit                   Fruit
l1_green                   Green Etch
l1_greenblu                Green and Blue
l1_happy                   Happy
l1_iciclelights            Icicle Lights
l1_keyboard                Keyboard 
l1_khkycyan                Cyan
l1_kitchencounter          Kitchen Counter
l1_kite                    Lets Fly a Kite
l1_kittycat                Kitty Cat
l1_lizard                  Rainbox Lizard1
l1_magiccarpet             Magic Carpet
l1_marble                  Blue Storm
l1_mountains               Mountains 
l1_movies                  Movies
l1_music                   Music
l1_ocean                   Dolphin
l1_office                  Office
l1_outlinegrey             Grey Outline
l1_outlinemint             Mint Outline
l1_outlinered              Red Outline
l1_palms                   Palm Trees
l1_pond                    Pond
l1_pumpkin                 Pumpkin
l1_purplesatin             Purple Satin
l1_raspberry               Very Berry
l1_redwhtblu               Red White and Blue
l1_ribbon                  Christmas Ribbon
l1_ribbon2                 Christmas Ribbon W/Logo
l1_sageagate               Sage Agate
l1_santa                   Drunken Santa
l1_smoothie                Smoothie
l1_snowman                 Snowman
l1_steel                   Brushed Steel
l1_sunset                  Golden Sunset
l1_swirl                   Purple Swirl
l1_teddybear               Teddy Bear
l1_toga                    Roman
l1_train                   Train
l1_yingyang                Ying and Yang
l2_adult1                  Lovely Lady
l2_adult2                  She's Got Legs
l2_ambience                Ambience
l2_americananight          Americana Night
l2_arabiannight            Arabian Nights
l2_baffled                 Baffled
l2_baffled                 Baffled 01-23-02
l2_bluebergs               Blue Ice
l2_blueish                 Professional Blue
l2_blueish2                Professional Blue 2
l2_blueleaf                Blue Leaf
l2_blueloop1               Blue Loop
l2_bluenight               Blue Night
l2_bluenight2              Blue Night 2
l2_bluetoo                 Blue Too
l2_bubblegum               Bubblegum
l2_bubblegum2              Bubble Girl
l2_cityscape               City-scape
l2_clay                    Clay
l2_clay2                   Clay2
l2_cloudynight             Cloudy Night
l2_cloudynight             Cloudy Night
l2_corporateblu            Corporate Blue
l2_corporateblu2           Corporate Blue2
l2_corporatered            Corporate Red
l2_curve1                  Blue Curve 
l2_curve2                  Blue Wrapping
l2_curve3                  Pink Wrapping
l2_curve6                  Blue Curve 2
l2_devblack                Black Only
l2_devblack2               Black with Grey
l2_devgrey                 Grey Only
l2_devgrey2                Grey with White
l2_devredsquares           Red Squares
l2_devwhite                White Only
l2_devwhite2               White with Grey
l2_dragon                  Dragon Guard 
l2_earthy                  Earth Tones
l2_emeraldgreen            E-Green
l2_esales                  Logowrap
l2_fashion1                Fashion Inspiration 
l2_fashion2                Leather Couch
l2_fashion3                Strawberry Rose
l2_fashion4                Midnight Greens
l2_fashiondblue            Blue Circles
l2_fineart                 Fine Art
l2_fishies                 Hooked Bass
l2_fishing2                Ocean Storm
l2_greenangles             Green Angles
l2_greenclouds             Green Clouds
l2_greenclouds2            Green Clouds 2
l2_greenish                Professional Green
l2_happyghost              Happy Ghost
l2_happyjungle             Happy Jungle
l2_hearts                  Hearts
l2_hunting                 Mountains
l2_itsgotime               It's Go Time!
l2_khakiplain              Plain Khaki
l2_khakiplain2             Plain Khaki 2
l2_knighttime              Knight Time
l2_lizard                  Rainbow Lizard2
